transaction_id,date,category,product,base_price,discount_pct,final_price,quantity,total_amount,region,store,customer_type
TX-1000,2023-10-17,Electronics,Laptop,744.13,15,632.51,4,2530.04,South,Store 2,New
TX-1001,2023-07-13,Electronics,Camera,427.7,10,384.93,1,384.93,North,Store 2,Returning
TX-1002,2023-09-09,Electronics,Camera,206.85,10,186.16,9,1675.44,West,Store 2,VIP
TX-1003,2022-10-12,Electronics,Smartphone,701.16,20,560.93,6,3365.58,East,Store 2,Returning
TX-1004,2022-12-11,Electronics,Laptop,386.13,20,308.9,6,1853.4,East,Store 5,Loyal
TX-1005,2022-02-14,Food,Fruit,133.58,20,106.86000000000001,7,748.02,North,Store 5,Loyal
TX-1006,2023-10-06,Beauty,Skincare,581.58,0,581.58,2,1163.16,North,Store 2,Loyal
TX-1007,2022-08-27,Electronics,Headphones,285.19,0,285.19,6,1711.14,South,Store 3,Loyal
TX-1008,2023-11-18,Home,Sofa,613.04,5,582.39,3,1747.17,South,Store 2,VIP
TX-1009,2022-10-04,Beauty,Makeup,687.77,5,653.38,1,653.38,South,Store 1,Loyal
TX-1010,2022-10-02,Electronics,Smartphone,914.0,5,868.3,10,8683.0,East,Store 2,VIP
TX-1011,2023-10-21,Food,Milk,272.23,10,245.01000000000002,4,980.04,East,Store 5,VIP
TX-1012,2023-02-13,Home,Lamp,997.35,20,797.88,3,2393.64,West,Store 1,New
TX-1013,2022-04-23,Clothing,Jeans,794.16,10,714.74,7,5003.18,North,Store 4,VIP
TX-1014,2023-04-25,Beauty,Skincare,971.37,20,777.1,1,777.1,North,Store 5,Loyal
TX-1015,2023-10-19,Home,Sofa,300.57,10,270.51,3,811.53,West,Store 1,Loyal
TX-1016,2022-07-02,Beauty,Perfume,871.81,20,697.4499999999999,5,3487.25,South,Store 2,Loyal
TX-1017,2022-06-15,Beauty,Nailcare,919.31,0,919.31,10,9193.1,East,Store 4,New
TX-1018,2023-01-07,Home,Lamp,67.35,20,53.879999999999995,10,538.8,North,Store 1,VIP
TX-1019,2022-03-12,Beauty,Makeup,137.11,0,137.11,8,1096.88,South,Store 3,VIP
TX-1020,2023-07-07,Clothing,Dress,405.0,0,405.0,6,2430.0,West,Store 5,VIP
TX-1021,2022-09-11,Clothing,T-shirt,344.7,0,344.7,10,3447.0,South,Store 5,Returning
TX-1022,2022-03-14,Electronics,Smartphone,76.73,0,76.73,1,76.73,East,Store 1,Returning
TX-1023,2023-11-17,Food,Milk,543.84,20,435.07000000000005,10,4350.7,West,Store 2,VIP
TX-1024,2023-02-21,Clothing,T-shirt,105.96,5,100.66,7,704.62,East,Store 4,VIP
TX-1025,2022-02-25,Electronics,Laptop,408.6,0,408.6,6,2451.6,North,Store 2,Returning
TX-1026,2023-07-04,Food,Milk,427.66,5,406.28000000000003,5,2031.4,West,Store 2,New
TX-1027,2023-07-18,Electronics,Laptop,655.62,0,655.62,9,5900.58,North,Store 1,Returning
TX-1028,2023-02-21,Food,Cheese,221.61,0,221.61,7,1551.27,North,Store 2,VIP
TX-1029,2023-02-04,Home,Desk,292.4,0,292.4,9,2631.6,West,Store 2,Returning
TX-1030,2022-08-11,Electronics,Camera,738.38,10,664.54,1,664.54,East,Store 1,New
TX-1031,2023-05-04,Beauty,Nailcare,165.86,10,149.27,9,1343.43,North,Store 2,New
TX-1032,2022-03-11,Clothing,Jacket,128.69,10,115.82,10,1158.2,South,Store 5,New
TX-1033,2022-03-25,Food,Fruit,569.57,0,569.57,6,3417.42,East,Store 2,Loyal
TX-1034,2022-09-29,Food,Milk,674.97,0,674.97,5,3374.85,West,Store 3,New
TX-1035,2023-04-15,Beauty,Nailcare,996.14,0,996.14,2,1992.28,South,Store 5,Loyal
TX-1036,2022-12-24,Electronics,Smartphone,375.83,10,338.25,3,1014.75,West,Store 5,Loyal
TX-1037,2023-11-01,Beauty,Perfume,671.18,0,671.18,9,6040.62,East,Store 1,Returning
TX-1038,2022-04-29,Electronics,Camera,163.89,15,139.31,5,696.55,South,Store 3,Returning
TX-1039,2023-10-12,Home,Chair,493.65,0,493.65,1,493.65,North,Store 4,Loyal
TX-1040,2022-01-04,Home,Lamp,640.74,10,576.6700000000001,5,2883.35,South,Store 4,VIP
TX-1041,2022-01-10,Electronics,Laptop,945.6,5,898.32,3,2694.96,North,Store 3,Returning
TX-1042,2022-05-11,Electronics,Tablet,371.01,15,315.36,1,315.36,East,Store 2,Returning
TX-1043,2022-04-16,Home,Chair,885.29,20,708.23,7,4957.61,South,Store 2,Returning
TX-1044,2022-07-01,Food,Bread,187.57,0,187.57,6,1125.42,West,Store 2,Loyal
TX-1045,2023-12-20,Electronics,Headphones,873.45,0,873.45,8,6987.6,South,Store 2,VIP
TX-1046,2022-11-09,Clothing,Jeans,33.43,20,26.74,4,106.96,West,Store 3,Loyal
TX-1047,2022-03-13,Home,Bed,645.07,0,645.07,7,4515.49,East,Store 1,New
TX-1048,2022-07-02,Beauty,Skincare,47.87,5,45.48,10,454.8,West,Store 3,Loyal
TX-1049,2023-09-13,Beauty,Perfume,391.34,15,332.64,10,3326.4,South,Store 3,New
TX-1050,2023-03-23,Electronics,Camera,926.32,0,926.32,9,8336.88,South,Store 3,VIP
TX-1051,2023-11-12,Home,Chair,320.78,15,272.65999999999997,2,545.32,East,Store 5,Loyal
TX-1052,2023-02-23,Home,Desk,700.24,15,595.2,9,5356.8,South,Store 2,VIP
TX-1053,2023-01-24,Clothing,Shoes,573.41,0,573.41,7,4013.87,North,Store 3,Loyal
TX-1054,2023-03-17,Beauty,Nailcare,658.16,10,592.3399999999999,8,4738.72,West,Store 4,Returning
TX-1055,2023-04-30,Clothing,T-shirt,290.95,15,247.31,10,2473.1,East,Store 1,Returning
TX-1056,2022-11-14,Clothing,Jeans,155.88,5,148.09,1,148.09,South,Store 4,New
TX-1057,2023-03-01,Beauty,Makeup,721.16,0,721.16,7,5048.12,West,Store 4,Returning
TX-1058,2023-11-03,Electronics,Laptop,780.64,0,780.64,4,3122.56,South,Store 5,VIP
TX-1059,2023-07-25,Clothing,T-shirt,461.9,20,369.52,8,2956.16,East,Store 4,VIP
TX-1060,2023-07-16,Food,Milk,746.22,20,596.98,8,4775.84,West,Store 3,Returning
TX-1061,2023-10-15,Home,Chair,489.75,15,416.29,4,1665.16,East,Store 4,New
TX-1062,2022-10-20,Clothing,Dress,342.49,0,342.49,9,3082.41,North,Store 2,Returning
TX-1063,2023-01-28,Clothing,Jeans,73.59,5,69.91,7,489.37,East,Store 5,VIP
TX-1064,2022-03-05,Clothing,Jacket,395.58,5,375.79999999999995,10,3758.0,North,Store 5,VIP
TX-1065,2022-01-07,Home,Bed,755.94,0,755.94,7,5291.58,South,Store 4,Returning
TX-1066,2023-03-23,Food,Bread,394.97,10,355.47,7,2488.29,South,Store 4,Returning
TX-1067,2023-07-01,Electronics,Headphones,595.97,20,476.78000000000003,1,476.78,North,Store 4,Returning
TX-1068,2023-04-18,Clothing,T-shirt,267.55,0,267.55,6,1605.3,South,Store 4,Loyal
TX-1069,2023-01-24,Home,Desk,259.75,0,259.75,2,519.5,West,Store 1,New
TX-1070,2022-08-18,Electronics,Laptop,756.69,0,756.69,4,3026.76,South,Store 1,Returning
TX-1071,2022-05-10,Food,Bread,568.33,0,568.33,4,2273.32,West,Store 3,Loyal
TX-1072,2023-09-13,Beauty,Perfume,780.01,0,780.01,3,2340.03,East,Store 1,New
TX-1073,2023-08-13,Food,Cheese,942.06,0,942.06,4,3768.24,North,Store 5,Returning
TX-1074,2023-12-15,Home,Chair,807.47,15,686.35,10,6863.5,North,Store 3,VIP
TX-1075,2023-01-15,Electronics,Camera,651.07,5,618.5200000000001,1,618.52,West,Store 4,New
TX-1076,2023-01-06,Food,Milk,441.13,5,419.07,9,3771.63,East,Store 5,VIP
TX-1077,2023-03-23,Beauty,Skincare,329.08,0,329.08,4,1316.32,North,Store 3,VIP
TX-1078,2023-04-21,Beauty,Nailcare,671.51,0,671.51,6,4029.06,North,Store 4,Loyal
TX-1079,2023-05-15,Clothing,Dress,799.85,10,719.86,6,4319.16,East,Store 5,Loyal
TX-1080,2022-01-11,Beauty,Makeup,94.76,15,80.55000000000001,7,563.85,West,Store 5,Returning
TX-1081,2023-05-03,Food,Cheese,795.0,15,675.75,2,1351.5,East,Store 2,VIP
TX-1082,2022-09-07,Home,Chair,375.33,0,375.33,9,3377.97,East,Store 4,Loyal
