transaction_id,date,category,product,base_price,discount_pct,final_price,quantity,total_amount,region,store,customer_type,has_discount
TX-1000,2023-10-17,ELECTRONICS,LAPTOP,744.13,15,632.51,4,2530.04,SOUTH,STORE 2,NEW,1
TX-1001,2023-07-13,ELECTRONICS,CAMERA,427.7,10,384.93,1,384.93,NORTH,STORE 2,RETURNING,1
TX-1002,2023-09-09,ELECTRONICS,CAMERA,206.85,10,186.16,9,1675.44,WEST,STORE 2,VIP,1
TX-1003,2022-10-12,ELECTRONICS,SMARTPHONE,701.16,20,560.93,6,3365.58,EAST,STORE 2,RETURNING,1
TX-1004,2022-12-11,ELECTRONICS,LAPTOP,386.13,20,308.9,6,1853.4,EAST,STORE 5,LOYAL,1
TX-1005,2022-02-14,FOOD,FRUIT,133.58,20,106.86,7,748.02,NORTH,STORE 5,LOYAL,1
TX-1006,2023-10-06,BEAUTY,SKINCARE,581.58,0,581.58,2,1163.16,NORTH,STORE 2,LOYAL,0
TX-1007,2022-08-27,ELECTRONICS,HEADPHONES,285.19,0,285.19,6,1711.14,SOUTH,STORE 3,LOYAL,0
TX-1008,2023-11-18,HOME,SOFA,613.04,5,582.39,3,1747.17,SOUTH,STORE 2,VIP,1
TX-1009,2022-10-04,BEAUTY,MAKEUP,687.77,5,653.38,1,653.38,SOUTH,STORE 1,LOYAL,1
TX-1010,2022-10-02,ELECTRONICS,SMARTPHONE,914.0,5,868.3,10,8683.0,EAST,STORE 2,VIP,1
TX-1011,2023-10-21,FOOD,MILK,272.23,10,245.01,4,980.04,EAST,STORE 5,VIP,1
TX-1012,2023-02-13,HOME,LAMP,997.35,20,797.88,3,2393.64,WEST,STORE 1,NEW,1
TX-1013,2022-04-23,CLOTHING,JEANS,794.16,10,714.74,7,5003.18,NORTH,STORE 4,VIP,1
TX-1014,2023-04-25,BEAUTY,SKINCARE,971.37,20,777.1,1,777.1,NORTH,STORE 5,LOYAL,1
TX-1015,2023-10-19,HOME,SOFA,300.57,10,270.51,3,811.53,WEST,STORE 1,LOYAL,1
TX-1016,2022-07-02,BEAUTY,PERFUME,871.81,20,697.4499999999999,5,3487.25,SOUTH,STORE 2,LOYAL,1
TX-1017,2022-06-15,BEAUTY,NAILCARE,919.31,0,919.31,10,9193.1,EAST,STORE 4,NEW,0
TX-1018,2023-01-07,HOME,LAMP,67.35,20,53.88,10,538.8,NORTH,STORE 1,VIP,1
TX-1019,2022-03-12,BEAUTY,MAKEUP,137.11,0,137.11,8,1096.88,SOUTH,STORE 3,VIP,0
TX-1020,2023-07-07,CLOTHING,DRESS,405.0,0,405.0,6,2430.0,WEST,STORE 5,VIP,0
TX-1021,2022-09-11,CLOTHING,T-SHIRT,344.7,0,344.7,10,3447.0,SOUTH,STORE 5,RETURNING,0
TX-1022,2022-03-14,ELECTRONICS,SMARTPHONE,76.73,0,76.73,1,76.73,EAST,STORE 1,RETURNING,0
TX-1023,2023-11-17,FOOD,MILK,543.84,20,435.0700000000001,10,4350.7,WEST,STORE 2,VIP,1
TX-1024,2023-02-21,CLOTHING,T-SHIRT,105.96,5,100.66,7,704.62,EAST,STORE 4,VIP,1
TX-1025,2022-02-25,ELECTRONICS,LAPTOP,408.6,0,408.6,6,2451.6,NORTH,STORE 2,RETURNING,0
TX-1026,2023-07-04,FOOD,MILK,427.66,5,406.28,5,2031.4,WEST,STORE 2,NEW,1
TX-1027,2023-07-18,ELECTRONICS,LAPTOP,655.62,0,655.62,9,5900.58,NORTH,STORE 1,RETURNING,0
TX-1028,2023-02-21,FOOD,CHEESE,221.61,0,221.61,7,1551.27,NORTH,STORE 2,VIP,0
TX-1029,2023-02-04,HOME,DESK,292.4,0,292.4,9,2631.6,WEST,STORE 2,RETURNING,0
TX-1030,2022-08-11,ELECTRONICS,CAMERA,738.38,10,664.54,1,664.54,EAST,STORE 1,NEW,1
TX-1031,2023-05-04,BEAUTY,NAILCARE,165.86,10,149.27,9,1343.43,NORTH,STORE 2,NEW,1
TX-1032,2022-03-11,CLOTHING,JACKET,128.69,10,115.82,10,1158.2,SOUTH,STORE 5,NEW,1
TX-1033,2022-03-25,FOOD,FRUIT,569.57,0,569.57,6,3417.42,EAST,STORE 2,LOYAL,0
TX-1034,2022-09-29,FOOD,MILK,674.97,0,674.97,5,3374.85,WEST,STORE 3,NEW,0
TX-1035,2023-04-15,BEAUTY,NAILCARE,996.14,0,996.14,2,1992.28,SOUTH,STORE 5,LOYAL,0
TX-1036,2022-12-24,ELECTRONICS,SMARTPHONE,375.83,10,338.25,3,1014.75,WEST,STORE 5,LOYAL,1
TX-1037,2023-11-01,BEAUTY,PERFUME,671.18,0,671.18,9,6040.62,EAST,STORE 1,RETURNING,0
TX-1038,2022-04-29,ELECTRONICS,CAMERA,163.89,15,139.31,5,696.55,SOUTH,STORE 3,RETURNING,1
TX-1039,2023-10-12,HOME,CHAIR,493.65,0,493.65,1,493.65,NORTH,STORE 4,LOYAL,0
TX-1040,2022-01-04,HOME,LAMP,640.74,10,576.6700000000001,5,2883.35,SOUTH,STORE 4,VIP,1
TX-1041,2022-01-10,ELECTRONICS,LAPTOP,945.6,5,898.32,3,2694.96,NORTH,STORE 3,RETURNING,1
TX-1042,2022-05-11,ELECTRONICS,TABLET,371.01,15,315.36,1,315.36,EAST,STORE 2,RETURNING,1
TX-1043,2022-04-16,HOME,CHAIR,885.29,20,708.23,7,4957.61,SOUTH,STORE 2,RETURNING,1
TX-1044,2022-07-01,FOOD,BREAD,187.57,0,187.57,6,1125.42,WEST,STORE 2,LOYAL,0
TX-1045,2023-12-20,ELECTRONICS,HEADPHONES,873.45,0,873.45,8,6987.6,SOUTH,STORE 2,VIP,0
TX-1046,2022-11-09,CLOTHING,JEANS,33.43,20,26.74,4,106.96,WEST,STORE 3,LOYAL,1
TX-1047,2022-03-13,HOME,BED,645.07,0,645.07,7,4515.49,EAST,STORE 1,NEW,0
TX-1048,2022-07-02,BEAUTY,SKINCARE,47.87,5,45.48,10,454.8,WEST,STORE 3,LOYAL,1
TX-1049,2023-09-13,BEAUTY,PERFUME,391.34,15,332.64,10,3326.4,SOUTH,STORE 3,NEW,1
TX-1050,2023-03-23,ELECTRONICS,CAMERA,926.32,0,926.32,9,8336.88,SOUTH,STORE 3,VIP,0
TX-1051,2023-11-12,HOME,CHAIR,320.78,15,272.66,2,545.32,EAST,STORE 5,LOYAL,1
TX-1052,2023-02-23,HOME,DESK,700.24,15,595.2,9,5356.8,SOUTH,STORE 2,VIP,1
TX-1053,2023-01-24,CLOTHING,SHOES,573.41,0,573.41,7,4013.87,NORTH,STORE 3,LOYAL,0
TX-1054,2023-03-17,BEAUTY,NAILCARE,658.16,10,592.3399999999999,8,4738.72,WEST,STORE 4,RETURNING,1
TX-1055,2023-04-30,CLOTHING,T-SHIRT,290.95,15,247.31,10,2473.1,EAST,STORE 1,RETURNING,1
TX-1056,2022-11-14,CLOTHING,JEANS,155.88,5,148.09,1,148.09,SOUTH,STORE 4,NEW,1
TX-1057,2023-03-01,BEAUTY,MAKEUP,721.16,0,721.16,7,5048.12,WEST,STORE 4,RETURNING,0
TX-1058,2023-11-03,ELECTRONICS,LAPTOP,780.64,0,780.64,4,3122.56,SOUTH,STORE 5,VIP,0
TX-1059,2023-07-25,CLOTHING,T-SHIRT,461.9,20,369.52,8,2956.16,EAST,STORE 4,VIP,1
TX-1060,2023-07-16,FOOD,MILK,746.22,20,596.98,8,4775.84,WEST,STORE 3,RETURNING,1
TX-1061,2023-10-15,HOME,CHAIR,489.75,15,416.29,4,1665.16,EAST,STORE 4,NEW,1
TX-1062,2022-10-20,CLOTHING,DRESS,342.49,0,342.49,9,3082.41,NORTH,STORE 2,RETURNING,0
TX-1063,2023-01-28,CLOTHING,JEANS,73.59,5,69.91,7,489.37,EAST,STORE 5,VIP,1
TX-1064,2022-03-05,CLOTHING,JACKET,395.58,5,375.8,10,3758.0,NORTH,STORE 5,VIP,1
