id_transakcji,id_klienta,data_transakcji,metoda_platnosci,status
T00000001,K000883,2023-01-01,Karta kredytowa,Zrealizowane
T00000002,K000872,2023-01-01,BLIK,Zrealizowane
T00000003,K000525,2023-01-01,Karta kredytowa,Zrealizowane
T00000004,K000052,2023-01-01,PayPal,W trakcie realizacji
T00000005,K000265,2023-01-01,PayPal,Zrealizowane
T00000006,K000953,2023-01-01,Płatność przy odbiorze,Zrealizowane
T00000007,K000325,2023-01-01,PayPal,Zrealizowane
T00000008,K000555,2023-01-01,Karta kredytowa,Zrealizowane
T00000009,K000007,2023-01-01,BLIK,Zrealizowane
T00000010,K000742,2023-01-01,Karta kredytowa,Zrealizowane
T00000011,K000044,2023-01-01,BLIK,Anulowane
T00000012,K000172,2023-01-01,Karta kredytowa,Anulowane
T00000013,K000102,2023-01-01,PayPal,Zrealizowane
T00000014,K000735,2023-01-01,Przelew bankowy,Zrealizowane
T00000015,K000580,2023-01-01,Karta kredytowa,Anulowane
T00000016,K000634,2023-01-01,BLIK,Zrealizowane
T00000017,K000589,2023-01-01,PayPal,Zrealizowane
T00000018,K000812,2023-01-01,Karta kredytowa,Zrealizowane
T00000019,K000975,2023-01-01,Karta kredytowa,Zrealizowane
T00000020,K000296,2023-01-01,Karta kredytowa,Zrealizowane
T00000021,K000205,2023-01-01,PayPal,Zrealizowane
T00000022,K000939,2023-01-01,Karta kredytowa,Zrealizowane
T00000023,K000491,2023-01-01,Karta kredytowa,Zrealizowane
T00000024,K000318,2023-01-01,BLIK,Zrealizowane
T00000025,K000171,2023-01-01,Karta kredytowa,Zwrócone
T00000026,K000218,2023-01-01,BLIK,Zrealizowane
T00000027,K000915,2023-01-01,Płatność przy odbiorze,Zwrócone
T00000028,K000501,2023-01-01,BLIK,Zrealizowane
T00000029,K000817,2023-01-01,Karta kredytowa,Zrealizowane
T00000030,K000193,2023-01-01,BLIK,Zrealizowane
T00000031,K000333,2023-01-01,Karta kredytowa,Zrealizowane
T00000032,K000153,2023-01-01,Karta kredytowa,Zrealizowane
T00000033,K000980,2023-01-01,Płatność przy odbiorze,Anulowane
T00000034,K000553,2023-01-01,PayPal,Zrealizowane
T00000035,K000023,2023-01-01,PayPal,Zrealizowane
T00000036,K000698,2023-01-01,Karta kredytowa,Zrealizowane
T00000037,K000216,2023-01-01,Karta kredytowa,Zrealizowane
T00000038,K000043,2023-01-01,PayPal,Zrealizowane
T00000039,K000361,2023-01-01,BLIK,W trakcie realizacji
T00000040,K000625,2023-01-01,Karta kredytowa,Zrealizowane
T00000041,K000743,2023-01-01,Karta kredytowa,Anulowane
T00000042,K000936,2023-01-01,Karta kredytowa,Zrealizowane
T00000043,K000414,2023-01-01,Karta kredytowa,Zrealizowane
T00000044,K000418,2023-01-01,Karta kredytowa,Zrealizowane
T00000045,K000622,2023-01-01,Karta kredytowa,Zrealizowane
T00000046,K000650,2023-01-01,PayPal,Zrealizowane
T00000047,K000617,2023-01-01,Karta kredytowa,Zrealizowane
T00000048,K000316,2023-01-01,PayPal,Zrealizowane
T00000049,K000897,2023-01-01,Karta kredytowa,Zrealizowane
T00000050,K000652,2023-01-01,BLIK,Zrealizowane
T00000051,K000430,2023-01-01,Karta kredytowa,Zrealizowane
T00000052,K000767,2023-01-01,Karta kredytowa,Zrealizowane
T00000053,K000499,2023-01-01,BLIK,Zrealizowane
T00000054,K000349,2023-01-01,PayPal,Zrealizowane
T00000055,K000075,2023-01-01,BLIK,Zrealizowane
T00000056,K000233,2023-01-01,Karta kredytowa,Zrealizowane
T00000057,K000913,2023-01-01,PayPal,Zrealizowane
T00000058,K000724,2023-01-01,PayPal,Zrealizowane
T00000059,K000570,2023-01-01,PayPal,Zrealizowane
T00000060,K000038,2023-01-01,PayPal,Zrealizowane
T00000061,K000262,2023-01-01,PayPal,Zrealizowane
T00000062,K000446,2023-01-01,PayPal,Zrealizowane
T00000063,K000212,2023-01-01,PayPal,Zrealizowane
T00000064,K000458,2023-01-01,PayPal,Zrealizowane
T00000065,K000650,2023-01-01,Przelew bankowy,Zrealizowane
T00000066,K000991,2023-01-01,Przelew bankowy,Zrealizowane
