id_klienta,liczba_transakcji,pierwsza_transakcja,ostatnia_transakcja,laczna_wartosc,srednia_wartosc_zamowienia,min_wartosc_zamowienia,max_wartosc_zamowienia,miasto,segment,data_rejestracji,dni_miedzy_transakcjami,dni_od_rejestracji_do_pierwszego_zakupu,dni_od_ostatniego_zakupu
K000001,47,2023-01-05,2023-06-27,294131.8425,6258.124308510639,203.3095,16187.405999999999,Kraków,Standard,2022-01-01 00:00:00.000000000,3.760869565217391,369,2
K000002,65,2023-01-03,2023-06-21,409702.219,6303.111061538461,114.1995,13994.23,Łódź,Standard,2022-01-01 13:05:35.135135135,2.640625,366,8
K000003,53,2023-01-01,2023-06-25,285029.9735,5377.924028301887,102.57,13145.11,Warszawa,Standard,2022-01-02 02:11:10.270270270,3.3653846153846154,363,4
K000004,57,2023-01-11,2023-06-26,354621.1265,6221.423271929825,226.3,19032.54,Szczecin,Standard,2022-01-02 15:16:45.405405405,2.9642857142857144,373,3
K000005,59,2023-01-01,2023-06-27,394942.0775,6693.933516949152,166.13,21060.149,Szczecin,Premium,2022-01-03 04:22:20.540540540,3.0517241379310347,362,2
K000006,61,2023-01-05,2023-06-29,365087.1795,5985.035729508198,432.99,16551.136,Poznań,Standard,2022-01-03 17:27:55.675675675,2.9166666666666665,366,0
K000007,49,2023-01-01,2023-06-28,297640.605,6074.298061224489,129.89700000000002,17556.457,Wrocław,Standard,2022-01-04 06:33:30.810810810,3.7083333333333335,361,1
K000008,52,2023-01-10,2023-06-29,266872.678,5132.166884615385,584.1075,13767.875,Warszawa,Premium,2022-01-04 19:39:05.945945945,3.3333333333333335,370,0
K000009,54,2023-01-02,2023-06-29,322087.014,5964.574333333334,113.15,14544.8375,Łódź,VIP,2022-01-05 08:44:41.081081081,3.358490566037736,361,0
K000010,52,2023-01-06,2023-06-28,327619.236,6300.3699230769225,1223.91,15670.85,Warszawa,Standard,2022-01-05 21:50:16.216216216,3.392156862745098,365,1
K000011,41,2023-01-08,2023-06-27,255755.71649999998,6237.944304878049,292.04,14225.708999999999,Gdańsk,Standard,2022-01-06 10:55:51.351351351,4.25,366,2
K000012,45,2023-01-02,2023-06-27,271799.941,6039.998688888889,822.22,18236.374,Wrocław,Standard,2022-01-07 00:01:26.486486486,4.0,359,2
K000013,48,2023-01-10,2023-06-28,266213.6,5546.116666666666,180.39,15560.437,Łódź,VIP,2022-01-07 13:07:01.621621621,3.595744680851064,367,1
K000014,47,2023-01-05,2023-06-25,292542.2275,6224.302712765957,192.355,13758.869999999999,Łódź,VIP,2022-01-08 02:12:36.756756756,3.717391304347826,361,4
K000015,45,2023-01-03,2023-06-28,260773.456,5794.965688888889,113.15,18668.319,Kraków,Standard,2022-01-08 15:18:11.891891891,4.0,359,1
K000016,46,2023-01-04,2023-06-29,277680.9125,6036.541576086956,438.06000000000006,15474.560000000001,Poznań,Premium,2022-01-09 04:23:47.027027027,3.911111111111111,359,0
K000017,46,2023-01-07,2023-06-26,256598.297,5578.223847826087,162.7505,12939.158,Kraków,Standard,2022-01-09 17:29:22.162162162,3.7777777777777777,362,3
K000018,55,2023-01-02,2023-06-29,321649.6585,5848.175609090909,264.45,16074.003,Łódź,Standard,2022-01-10 06:34:57.297297297,3.2962962962962963,356,0
K000019,53,2023-01-05,2023-06-29,289091.3475,5454.5537264150935,146.02,13728.530999999999,Wrocław,Standard,2022-01-10 19:40:32.432432432,3.3653846153846154,359,0
K000020,39,2023-01-04,2023-06-24,227140.095,5824.1050000000005,122.61,12742.312,Warszawa,Premium,2022-01-11 08:46:07.567567567,4.5,357,5
K000021,47,2023-01-04,2023-06-29,253536.5495,5394.394670212766,578.66,16570.612,Warszawa,Standard,2022-01-11 21:51:42.702702702,3.8260869565217392,357,0
K000022,52,2023-01-01,2023-06-28,329216.55,6331.0875,113.15,18884.244,Wrocław,Premium,2022-01-12 10:57:17.837837837,3.4901960784313726,353,1
K000023,54,2023-01-01,2023-06-29,296152.613,5484.3076481481485,283.26,15484.74,Łódź,Premium,2022-01-13 00:02:52.972972972,3.3773584905660377,352,0
K000024,39,2023-01-01,2023-06-26,241870.5495,6201.8089615384615,2121.2,13194.831,Szczecin,Premium,2022-01-13 13:08:28.108108108,4.631578947368421,352,3
K000025,63,2023-01-01,2023-06-25,363122.012,5763.84146031746,31.084,15846.293,Warszawa,Standard,2022-01-14 02:14:03.243243243,2.8225806451612905,351,4
K000026,44,2023-01-06,2023-06-28,235110.6005,5343.422738636364,320.82,18923.519,Szczecin,Standard,2022-01-14 15:19:38.378378378,4.023255813953488,356,1
K000027,49,2023-01-06,2023-06-28,286094.2085,5838.657316326531,332.26,15090.3805,Warszawa,Standard,2022-01-15 04:25:13.513513513,3.6041666666666665,355,1
K000028,55,2023-01-03,2023-06-29,344278.68,6259.612363636364,326.38,15036.146,Warszawa,Standard,2022-01-15 17:30:48.648648648,3.2777777777777777,352,0
K000029,56,2023-01-01,2023-06-28,326540.7475,5831.084776785714,288.66,17269.281,Poznań,Standard,2022-01-16 06:36:23.783783783,3.2363636363636363,349,1
K000030,64,2023-01-07,2023-06-29,351043.847,5485.060109375,635.1899999999999,13593.277,Poznań,VIP,2022-01-16 19:41:58.918918918,2.746031746031746,355,0
K000031,28,2023-01-09,2023-06-29,173155.267,6184.116678571429,578.66,10883.310000000001,Gdańsk,Standard,2022-01-17 08:47:34.054054054,6.333333333333333,356,0
K000032,54,2023-01-04,2023-06-29,325468.49,6027.1942592592595,334.44,17263.28,Kraków,Standard,2022-01-17 21:53:09.189189189,3.3207547169811322,351,0
K000033,40,2023-01-06,2023-06-29,227778.3695,5694.4592375,65.44,13086.369999999999,Wrocław,Standard,2022-01-18 10:58:44.324324324,4.461538461538462,352,0
K000034,38,2023-01-09,2023-06-27,235388.8605,6194.443697368421,305.505,13727.579,Wrocław,Standard,2022-01-19 00:04:19.459459459,4.5675675675675675,354,2
K000035,53,2023-01-03,2023-06-18,321088.7655,6058.278594339622,104.2185,13553.726,Wrocław,Standard,2022-01-19 13:09:54.594594594,3.1923076923076925,348,11
K000036,62,2023-01-08,2023-06-26,392529.4815,6331.120669354838,419.425,16568.43,Gdańsk,Standard,2022-01-20 02:15:29.729729729,2.7704918032786887,352,3
K000037,45,2023-01-06,2023-06-25,275852.6535,6130.058966666667,489.57,13554.001,Poznań,VIP,2022-01-20 15:21:04.864864864,3.8636363636363638,350,4
K000038,56,2023-01-01,2023-06-26,279411.1395,4989.484633928571,34.19,13426.8795,Łódź,Standard,2022-01-21 04:26:40.000000000,3.2,344,3
K000039,36,2023-01-02,2023-06-21,221977.67500000002,6166.0465277777785,20.04,17653.766,Szczecin,VIP,2022-01-21 17:32:15.135135135,4.857142857142857,345,8
K000040,52,2023-01-05,2023-06-26,307165.622,5907.0311923076915,157.8235,17001.753,Szczecin,Premium,2022-01-22 06:37:50.270270270,3.372549019607843,347,3
K000041,50,2023-01-02,2023-06-27,313926.203,6278.52406,371.41,13283.614000000001,Łódź,Standard,2022-01-22 19:43:25.405405405,3.5918367346938775,344,2
K000042,40,2023-01-01,2023-06-13,230330.483,5758.262075000001,188.84,16121.72,Gdańsk,VIP,2022-01-23 08:49:00.540540540,4.17948717948718,342,16
K000043,54,2023-01-01,2023-06-29,335469.5965,6212.399935185185,80.14,16893.417999999998,Łódź,Standard,2022-01-23 21:54:35.675675675,3.3773584905660377,342,0
K000044,50,2023-01-01,2023-06-29,273110.3,5462.206,283.26,12930.906,Wrocław,Premium,2022-01-24 11:00:10.810810810,3.6530612244897958,341,0
K000045,52,2023-01-03,2023-06-27,317914.189,6113.734403846154,489.57,17495.1365,Kraków,Standard,2022-01-25 00:05:45.945945945,3.4313725490196076,342,2
K000046,58,2023-01-08,2023-06-26,344764.1505,5944.20949137931,542.13,13065.7315,Warszawa,Premium,2022-01-25 13:11:21.081081081,2.9649122807017543,347,3
K000047,55,2023-01-04,2023-06-20,296298.968,5387.253963636364,477.6,11828.366,Szczecin,Premium,2022-01-26 02:16:56.216216216,3.0925925925925926,342,9
K000048,64,2023-01-05,2023-06-27,377730.769,5902.043265625,235.47,14943.06,Poznań,Premium,2022-01-26 15:22:31.351351351,2.746031746031746,343,2
K000049,54,2023-01-13,2023-06-28,388126.804,7187.533407407407,371.05,17375.517,Poznań,Premium,2022-01-27 04:28:06.486486486,3.1320754716981134,350,1
K000050,40,2023-01-08,2023-06-21,214311.661,5357.791525,180.39,18226.79,Gdańsk,Standard,2022-01-27 17:33:41.621621621,4.205128205128205,345,8
K000051,44,2023-01-06,2023-06-26,283783.1105,6449.616147727273,496.39200000000005,18304.2255,Poznań,Standard,2022-01-28 06:39:16.756756756,3.9767441860465116,342,3
K000052,55,2023-01-01,2023-06-29,337579.4375,6137.807954545455,428.02,16191.057999999999,Wrocław,Standard,2022-01-28 19:44:51.891891892,3.314814814814815,337,0
K000053,51,2023-01-04,2023-06-25,321255.9225,6299.135735294118,614.85,14567.529999999999,Szczecin,Standard,2022-01-29 08:50:27.027027027,3.44,339,4
K000054,54,2023-01-03,2023-06-28,327610.047,6066.852722222223,29.0615,16308.084,Łódź,Standard,2022-01-29 21:56:02.162162162,3.3207547169811322,338,1
K000055,51,2023-01-08,2023-06-27,316233.712,6200.661019607843,65.44,14208.660000000002,Wrocław,Standard,2022-01-30 11:01:37.297297297,3.4,342,2
