,Akamai Cloud Computing,Amazon Web Services (AWS),VMware Cloud,Alibaba Cloud,Baidu AI Cloud,Salesforce Cloud,DigitalOcean,Fastly Edge Cloud,Google Cloud Platform (GCP),IBM Cloud,MongoDB Atlas,Microsoft Azure,Cloudflare,Oracle Cloud,Rackspace Technology,SAP Cloud Platform,Snowflake Data Cloud,Tencent Cloud,Twilio Cloud Communications,Workday Cloud Platform
Akamai Cloud Computing,1.0,0.630328526299018,0.6135560831383965,0.259176438027908,0.45611489537679095,0.9084568929855832,0.3878263285164523,0.4477324673737705,0.8573946396048825,0.4962006961253312,0.818244322904346,0.5977938513442823,0.3815549111307517,0.5932659723392748,0.47342221738277296,0.6086770288901528,0.5455832017701795,0.8452069557714432,0.6097690920097719,0.884338409105461
Amazon Web Services (AWS),0.630328526299018,1.0,0.8161888815664409,0.24636076607136415,0.31699828230591026,0.9856041937223281,0.25373950766852904,0.15560923778542232,0.9633105284221368,0.7573048076063511,0.7238226711651419,0.9540874646758843,0.7256394568998612,0.9087171527771876,0.12660138052191205,0.9337383557098384,0.21219246397184688,0.8839207247903934,0.5313871514950657,0.9455546817347371
VMware Cloud,0.6135560831383965,0.8161888815664409,1.0,-0.24831248559120936,-0.2182410649131774,0.8219705764411013,-0.2858062995885453,-0.4536587292507471,0.8960643586215121,0.8834478758883493,0.399411378627475,0.9015583971479918,0.4490808693433311,0.9658759069980102,-0.6098597793146094,0.9211597120513979,-0.4749304409306277,0.557756363546183,-0.06336970970213573,0.722103481456881
Alibaba Cloud,0.259176438027908,0.24636076607136415,-0.24831248559120936,1.0,0.25029699821302037,0.1985935186429009,0.44327091447688854,0.8391777517415041,-0.09193433413374767,-0.3118647546386187,-0.30091856791245747,-0.09749097575592922,-0.22135573753508866,-0.22301088429928181,0.8817750731795684,0.07253475363048098,0.634383164605264,0.6997061926730562,0.6089213398274179,0.2365641993723017
Baidu AI Cloud,0.45611489537679095,0.31699828230591026,-0.2182410649131774,0.25029699821302037,1.0,0.3799582593067291,0.4394316181726999,0.6188145320142364,0.2768725405840743,0.40055232052990875,-0.2934515778649466,0.17450627765666096,0.14876771863431187,0.2395456935815375,0.7600135318215294,0.31643239279641566,0.5817777821637503,0.24729012476932102,0.0882739843979739,-0.2964976198396143
Salesforce Cloud,0.9084568929855832,0.9856041937223281,0.8219705764411013,0.1985935186429009,0.3799582593067291,1.0,0.2818218187557782,0.07740042937833531,0.9597328900810165,0.7557437880266649,0.7402179418696493,0.9421122822387151,0.7282245878885113,0.9117831177277372,-0.021502208591831013,0.93914698698607,0.21044664272031,0.8666677516577425,0.4784705330676566,0.9621773066059365
DigitalOcean,0.3878263285164523,0.25373950766852904,-0.2858062995885453,0.44327091447688854,0.4394316181726999,0.2818218187557782,1.0,0.5657171957092614,0.10996787673615892,-0.3242737344490596,0.6798626525878846,-0.12175234898768597,0.7747534440966743,-0.21828531042602103,0.5788565866236265,-0.13987195523813958,0.8553246226797492,0.3784785839110184,0.6694859718647517,0.39011752738386785
Fastly Edge Cloud,0.4477324673737705,0.15560923778542232,-0.4536587292507471,0.8391777517415041,0.6188145320142364,0.07740042937833531,0.5657171957092614,1.0,-0.350938731597401,-0.5027893115605013,0.1570886942909303,-0.3850060717064216,-0.0032189519569085184,-0.4688259872531592,0.8706047061014204,-0.222647534289686,0.7226818607969026,0.7550403476738937,0.8380251786280627,0.1635649721463967
Google Cloud Platform (GCP),0.8573946396048825,0.9633105284221368,0.8960643586215121,-0.09193433413374767,0.2768725405840743,0.9597328900810165,0.10996787673615892,-0.350938731597401,1.0,0.7769164584625283,0.733471799824251,0.9843694568359077,0.7346666449478889,0.9574499755163209,-0.44956349527476797,0.9246608050275342,-0.19480294347705654,0.7703551500329913,0.243111530926813,0.8949986337313613
IBM Cloud,0.4962006961253312,0.7573048076063511,0.8834478758883493,-0.3118647546386187,0.40055232052990875,0.7557437880266649,-0.3242737344490596,-0.5027893115605013,0.7769164584625283,1.0,0.2896989654579819,0.7575925768382953,0.41274001012124983,0.8768293151862496,-0.6108048975100611,0.8899189708254364,-0.5111531181440714,0.33347490669275576,-0.1736008668890847,0.49316178055097903
