,ticker,company_name,service_name,latest_close,month_return,three_month_return,six_month_return,volatility,max_drawdown,data_points
Akamai,AKAM,Akamai,Akamai Cloud Computing,74.51000213623047,-9.200579633179151,-17.68669365948575,-28.05831577118947,3.9615969533494915,-99.79549789647027,6404
Amazon,AMZN,Amazon,Amazon Web Services (AWS),179.58999633789062,-6.861326876770846,-19.592571555759708,-4.239094184093705,3.516589569632611,-94.40421779932859,7024
Broadcom,AVGO,Broadcom,VMware Cloud,178.9499969482422,-4.864847544590811,-21.27566182210937,-1.2822061427140596,2.369627050406526,-48.299978443495526,3948
Alibaba,BABA,Alibaba,Alibaba Cloud,112.27999877929688,-21.339502271019562,36.19601583478753,4.146184326062818,2.6509652091027083,-80.08765822037502,2659
Baidu,BIDU,Baidu,Baidu AI Cloud,84.55000305175781,-17.520240669398056,3.7423350328316785,-14.690745100321422,3.194804963093831,-77.4734491865855,4955
Salesforce,CRM,Salesforce,Salesforce Cloud,254.92999267578125,-8.39503077991165,-20.497396990519224,-12.35020608369216,2.6376837067620227,-70.4957691712878,5238
DigitalOcean,DOCN,DigitalOcean,DigitalOcean,28.09000015258789,-21.53631075078678,-17.961452174070956,-35.955312900843275,4.268197713442628,-84.78427719127221,1021
Fastly,FSLY,Fastly,Fastly Edge Cloud,5.369999885559082,-24.152543171947748,-43.174603238678046,-25.82872851762914,5.27416124174602,-96.11891645662097,1487
Alphabet,GOOGL,Alphabet,Google Cloud Platform (GCP),156.30999755859375,-2.7136370573471957,-19.974420392690394,-5.02584780801002,1.9344375522634603,-65.29475967542726,5198
IBM,IBM,IBM,IBM Cloud,240.6999969482422,-2.530876726963449,10.122975716910387,3.8056690232648904,1.7315923975559193,-59.35920525711529,7551
MongoDB,MDB,MongoDB,MongoDB Atlas,158.5800018310547,-15.952931955243898,-34.71656191992763,-45.154598534599046,4.113559680931944,-76.52257162447009,1882
Microsoft,MSFT,Microsoft,Microsoft Azure,385.7300109863281,0.5762468804663801,-9.337466929366778,-7.601980040959056,1.9597808012635782,-69.38624327368052,7551
Cloudflare,NET,Cloudflare,Cloudflare,109.13999938964844,-5.194582361240563,-4.664573559310381,16.415999348958344,4.386656657905225,-82.58227841077655,1405
Oracle,ORCL,Oracle,Oracle Cloud,133.94000244140625,-10.056103426302121,-15.089919894508231,-23.48878689011563,2.596659602890301,-84.19433063643407,7551
Rackspace,RXT,Rackspace,Rackspace Technology,1.3200000524520874,-28.648646732940584,-44.53781558904814,-50.0,5.11767590103433,-95.85730703660208,1180
SAP,SAP,SAP,SAP Cloud Platform,261.9599914550781,-3.207220929482568,0.06493101516786837,13.011211391824705,2.423284625719149,-87.9106012738434,7444
Snowflake,SNOW,Snowflake,Snowflake Data Cloud,146.5399932861328,-5.066084020016737,-11.568410265552275,18.98342719131989,3.9405701932015966,-72.98763502408517,1151
Tencent,TCEHY,Tencent,Tencent Cloud,58.790000915527344,-15.39789505997512,20.3480097275174,5.245256486146221,2.3747591237196564,-73.89444897636785,3844
Twilio,TWLO,Twilio,Twilio Cloud Communications,88.30999755859375,-11.031638466628557,-21.404416982124975,24.397802811688287,3.8494074199708748,-90.36280353117337,2216
Workday,WDAY,Workday,Workday Cloud Platform,233.32000732421875,-7.379618144432898,-6.135092549644927,-3.7736601849380103,2.427957285503296,-57.65133713611543,3144
