,Akamai Cloud Computing,Amazon Web Services (AWS),VMware Cloud,Alibaba Cloud,Baidu AI Cloud,Salesforce Cloud,DigitalOcean,Fastly Edge Cloud,Google Cloud Platform (GCP),IBM Cloud,MongoDB Atlas,Microsoft Azure,Cloudflare,Oracle Cloud,Rackspace Technology,SAP Cloud Platform,Snowflake Data Cloud,Tencent Cloud,Twilio Cloud Communications,Workday Cloud Platform
Akamai Cloud Computing,1.0,0.6301416413897246,0.612259537891739,0.2592488120079767,0.4559821453022713,0.9082036576239895,0.389555649865051,0.4487266806339335,0.856952718844543,0.495605126928964,0.8182681244308225,0.5975263601867169,0.37717563951707445,0.5929183986928417,0.4745920411308925,0.6078239821510362,0.5460269457742204,0.844897940887824,0.6098115213960854,0.8838660665260913
Amazon Web Services (AWS),0.6301416413897246,1.0,0.8162258764097279,0.24585334632401157,0.3163462810399235,0.9856159512065504,0.2520524652021211,0.15421371172604875,0.9633614203206955,0.7576936702031284,0.7223649233642816,0.9541532521338799,0.7259708088852308,0.9088543058565413,0.1252092996127636,0.9335784139737632,0.2108909635782066,0.8840388221455425,0.5306179652455772,0.9455721294985677
VMware Cloud,0.612259537891739,0.8162258764097279,1.0,-0.24826264259417208,-0.2195076467940577,0.8218242670423144,-0.28770816046839964,-0.4546335390718008,0.8960341002018233,0.8840705933399359,0.3967656729898102,0.9015238604234359,0.4501382892756552,0.9657851730492434,-0.6105812996764627,0.921588756198526,-0.4758095339414122,0.5582890808496611,-0.06389524406169865,0.7219682580988646
Alibaba Cloud,0.2592488120079767,0.24585334632401157,-0.24826264259417208,1.0,0.250428183714061,0.1981932358712462,0.44261714164253496,0.8391202709224348,-0.0922206447806026,-0.3112528779187776,-0.30043989769040486,-0.09776919804948198,-0.22170242263646223,-0.22315025891401175,0.8814311909072611,0.07154353165528696,0.6342526962948983,0.6990856301774768,0.6089676055426169,0.2362406748326376
Baidu AI Cloud,0.4559821453022713,0.3163462810399235,-0.2195076467940577,0.250428183714061,1.0,0.3793511358752062,0.4406719694585834,0.6193293472367685,0.2761391700118405,0.39863485429232676,-0.2923563730096662,0.17386105591535753,0.14701603121728513,0.23871486806433767,0.7604174528533602,0.3148748569888567,0.5823744602562348,0.24613879755976015,0.08858562276108439,-0.297237057980718
Salesforce Cloud,0.9082036576239895,0.9856159512065504,0.8218242670423144,0.1981932358712462,0.3793511358752062,1.0,0.28077773801870426,0.07647588023346052,0.95975544018805,0.7558326001608663,0.7391199111771424,0.9421550167642513,0.7284106640043008,0.9118333101714328,-0.022200493197384548,0.938698942953139,0.20967660067027497,0.8668079893216374,0.4779087094646853,0.9622001507537425
DigitalOcean,0.389555649865051,0.2520524652021211,-0.28770816046839964,0.44261714164253496,0.4406719694585834,0.28077773801870426,1.0,0.5664387622219212,0.10830334340092157,-0.3263860871079103,0.680394480768398,-0.12312995732145104,0.7726787608771328,-0.21956816804390558,0.5794547482608012,-0.1428621702534411,0.85545620586362,0.37601550665631567,0.6695648773324734,0.38952181515439344
Fastly Edge Cloud,0.4487266806339335,0.15421371172604875,-0.4546335390718008,0.8391202709224348,0.6193293472367685,0.07647588023346052,0.5664387622219212,1.0,-0.35182732280752105,-0.5033987293208007,0.1583152350212407,-0.3858689848645584,-0.004393620208442367,-0.46961551836926596,0.8707754339660196,-0.22467648068790996,0.7229999271886031,0.7534822780957482,0.8380862952596776,0.1629721133099924
Google Cloud Platform (GCP),0.856952718844543,0.9633614203206955,0.8960341002018233,-0.0922206447806026,0.2761391700118405,0.95975544018805,0.10830334340092157,-0.35182732280752105,1.0,0.7773124005538152,0.7317544037931499,0.9844000570543726,0.7350258940155583,0.957526358027073,-0.4503996015468947,0.9245651400903104,-0.19584646379533718,0.7706104746385035,0.24244504646353118,0.8950201114911015
IBM Cloud,0.495605126928964,0.7576936702031284,0.8840705933399359,-0.3112528779187776,0.39863485429232676,0.7558326001608663,-0.3263860871079103,-0.5033987293208007,0.7773124005538152,1.0,0.286391215479839,0.7582051503122214,0.4139094516274442,0.8771420401100803,-0.6111966350083169,0.890355894297834,-0.5116626789211569,0.3347841570253288,-0.17370342815424739,0.4934376515966494
